position,predictions,duration_m,pred/actual,diff,"diff, %",diff^2,stand.deviation,z score,,MSE=,35.9118664174
12498,6.56,0.30,2217%,6.26,2117%,39.19,6.26,-1.20,,,
9986,3.93,0.23,1710%,3.70,1610%,13.72,3.70,-1.21,,"Model: RandomForestRegressor, calibrated 1",
12567,4.93,0.30,1667%,4.63,1567%,21.47,4.63,-1.20,,Score on test data: 35.91186641738006,
3749,3.83,0.23,1665%,3.60,1565%,12.96,3.60,-1.21,,,
5502,4.60,0.33,1401%,4.27,1301%,18.26,4.27,-1.19,,mean(duration_m),7.47
6164,7.36,0.69,1066%,6.67,966%,44.43,6.67,-1.13,,,
5760,4.31,0.43,1009%,3.88,909%,15.07,3.88,-1.18,,variance,35.91
8648,18.07,1.87,965%,16.20,865%,262.43,16.20,-0.93,,,
6574,21.13,2.46,858%,18.67,758%,348.42,18.67,-0.84,,standard deviation,5.99
11927,6.41,0.79,813%,5.62,713%,31.59,5.62,-1.11,,,
2404,3.56,0.46,773%,3.10,673%,9.58,3.10,-1.17,,standard deviation,9.049551514
1032,5.26,0.69,763%,4.57,663%,20.90,4.57,-1.13,,,
6731,3.22,0.43,754%,2.79,654%,7.79,2.79,-1.18,,,
4435,3.40,0.46,738%,2.94,638%,8.62,2.94,-1.17,,,
11919,35.09,4.83,727%,30.26,627%,915.71,30.26,-0.44,,,
12581,12.30,1.77,693%,10.52,593%,110.74,10.52,-0.95,,,
9467,8.11,1.22,667%,6.89,567%,47.51,6.89,-1.04,,,
11842,7.96,1.22,655%,6.75,555%,45.52,6.75,-1.04,,,
10345,14.45,2.23,647%,12.22,547%,149.27,12.22,-0.87,,,
12941,7.15,1.15,622%,6.00,522%,36.01,6.00,-1.05,,,
57,26.75,4.34,617%,22.41,517%,502.40,22.41,-0.52,,,
10932,3.86,0.66,587%,3.20,487%,10.25,3.20,-1.14,,,
4121,7.91,1.45,547%,6.46,447%,41.76,6.46,-1.01,,,
1508,3.40,0.66,518%,2.75,418%,7.55,2.75,-1.14,,,
6529,2.54,0.49,515%,2.04,415%,4.18,2.04,-1.16,,,
10563,31.47,6.31,499%,25.17,399%,633.34,25.17,-0.19,,,
856,11.27,2.27,497%,9.00,397%,81.06,9.00,-0.87,,,
4257,5.76,1.18,487%,4.57,387%,20.92,4.57,-1.05,,,
11802,14.45,3.02,478%,11.43,378%,130.63,11.43,-0.74,,,
435,6.47,1.38,469%,5.09,369%,25.88,5.09,-1.02,,,
3736,5.38,1.15,468%,4.23,368%,17.87,4.23,-1.05,,,
9133,6.38,1.38,462%,5.00,362%,25.01,5.00,-1.02,,,
7077,3.93,0.89,443%,3.04,343%,9.24,3.04,-1.10,,,
10081,10.60,2.40,442%,8.20,342%,67.31,8.20,-0.85,,,
8464,9.73,2.20,442%,7.52,342%,56.61,7.52,-0.88,,,
8663,13.16,2.99,440%,10.17,340%,103.48,10.17,-0.75,,,
2992,15.18,3.48,436%,11.69,336%,136.76,11.69,-0.67,,,
4618,4.29,0.99,435%,3.30,335%,10.91,3.30,-1.08,,,
8243,8.11,1.87,433%,6.24,333%,38.94,6.24,-0.93,,,
4309,1.80,0.43,421%,1.37,321%,1.88,1.37,-1.18,,,
4412,7.87,1.91,413%,5.97,313%,35.60,5.97,-0.93,,,
2449,29.31,7.23,405%,22.08,305%,487.41,22.08,-0.04,,,
9290,3.58,0.89,403%,2.69,303%,7.23,2.69,-1.10,,,
12921,17.07,4.27,400%,12.80,300%,163.84,12.80,-0.53,,,
9280,3.54,0.89,399%,2.65,299%,7.02,2.65,-1.10,,,
2213,3.78,0.99,384%,2.80,284%,7.83,2.80,-1.08,,,
503,15.36,4.01,383%,11.35,283%,128.88,11.35,-0.58,,,
7356,8.73,2.30,380%,6.43,280%,41.37,6.43,-0.86,,,
4546,8.85,2.33,379%,6.52,279%,42.49,6.52,-0.86,,,
44,2.86,0.76,378%,2.10,278%,4.42,2.10,-1.12,,,
1037,7.97,2.14,373%,5.83,273%,33.99,5.83,-0.89,,,
7184,6.73,1.81,372%,4.92,272%,24.22,4.92,-0.95,,,
6680,15.16,4.07,372%,11.09,272%,122.88,11.09,-0.57,,,
3946,14.01,3.78,371%,10.23,271%,104.72,10.23,-0.62,,,
839,19.10,5.19,368%,13.91,268%,193.48,13.91,-0.38,,,
5789,9.63,2.63,366%,7.00,266%,48.96,7.00,-0.81,,,
11502,6.84,1.87,365%,4.97,265%,24.70,4.97,-0.93,,,
2709,5.70,1.58,361%,4.12,261%,17.00,4.12,-0.98,,,
858,4.04,1.12,361%,2.92,261%,8.52,2.92,-1.06,,,
1407,4.51,1.25,361%,3.26,261%,10.61,3.26,-1.04,,,
5019,3.55,0.99,360%,2.56,260%,6.56,2.56,-1.08,,,
1296,4.70,1.31,358%,3.38,258%,11.45,3.38,-1.03,,,
12913,11.43,3.22,355%,8.21,255%,67.40,8.21,-0.71,,,
4262,12.16,3.45,352%,8.71,252%,75.85,8.71,-0.67,,,
11129,14.81,4.24,350%,10.58,250%,111.86,10.58,-0.54,,,
5670,4.45,1.28,348%,3.17,248%,10.07,3.17,-1.03,,,
104,8.09,2.33,347%,5.76,247%,33.15,5.76,-0.86,,,
3655,3.83,1.12,343%,2.72,243%,7.38,2.72,-1.06,,,
9541,5.51,1.61,342%,3.90,242%,15.18,3.90,-0.98,,,
9361,11.24,3.32,339%,7.92,239%,62.72,7.92,-0.69,,,
4600,2.22,0.66,337%,1.56,237%,2.43,1.56,-1.14,,,
8583,2.65,0.79,336%,1.86,236%,3.47,1.86,-1.11,,,
