,case_id,court_id,court_name,date_of_birth,start_date,end_date,money_amount_requested,person_answering_to_case,legal_entity_answering_to_case,person_started_the_case,legal_entity_started_the_case,court_meetings_set,court_meetings_happened,admin_penalty,lives_abroad,not_subject_to_duty,duration_m,region,city_Aizkraukles,city_Al?ksnes,city_Bauskas,city_C?su,city_Daugavpils,city_Dobeles,city_Gulbenes,city_Jelgavas,city_J?kabpils,city_Kuld?gas,city_Kurzemes,city_Liep?jas,city_Limbau,city_Madonas,city_Ogres,city_R?zeknes,city_R?gas,city_Saldus,city_Talsu,city_Tukuma,city_Valkas,city_Valmieras,city_Ventspils,judge_age,reciept_procedure_case_join,reciept_procedure_case_split,reciept_procedure_court_belonging,reciept_procedure_first,reciept_procedure_quick,reciept_procedure_ruling_cancel,money_amount_req_less_2,money_amount_req_zero,p_to_p_dummy,p_to_b_dummy,b_to_b_dummy,b_to_p_dummy,b_and_p_other_dummy,case_matter_contract_breach,case_matter_insurance,case_matter_loan_recovery,case_matter_loss_recovery,case_matter_money_recovery,case_matter_other,case_matter_pay_recovery,case_matter_property,case_matter_rent,case_matter_support,court_aizkraukles_rajona_tiesa,court_al?ksnes_rajona_tiesa,court_bauskas_rajona_tiesa,court_c?su_rajona_tiesa,court_daugavpils_tiesa,court_dobeles_rajona_tiesa,court_gulbenes_rajona_tiesa,court_jelgavas_tiesa,court_j?kabpils_rajona_tiesa,court_kuld?gas_rajona_tiesa,court_kurzemes_rajona_tiesa,court_liep?jas_tiesa,court_limbau_rajona_tiesa,court_madonas_rajona_tiesa,court_ogres_rajona_tiesa,court_r?zeknes_tiesa,court_r?gas_pils?tas_kurzemes_rajona_tiesa,court_r?gas_pils?tas_latgales_priekšpils?tas_tiesa,court_r?gas_pils?tas_p?rdaugavas_tiesa,court_r?gas_pils?tas_vidzemes_priekšpils?tas_tiesa,court_r?gas_pils?tas_zemgales_priekšpils?tas_tiesa,court_r?gas_pils?tas_zieme?u_rajona_tiesa,court_r?gas_rajona_tiesa,court_r?gas_rajona_tiesa_j?rmalas_tiesu_nams,court_saldus_rajona_tiesa,court_talsu_rajona_tiesa,court_tukuma_rajona_tiesa,court_valkas_rajona_tiesa,court_valmieras_rajona_tiesa,court_ventspils_tiesa,loadiness_of_court,not_subject_to_duty_not_zero,persons_and_compnies_answering,lives_abroad_over_persons_and_companies_answering
0,1526477,26,R?gas pils?tas Latgales priekšpils?tas tiesa,30180,6/13/2013,5/9/2017,722.17,1,0,0,1,6,1,0,0,0,46.8510647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1629,0,1,0
1,1900939,37,Saldus rajona tiesa,121068,2/22/2017,6/29/2017,578.19,1,0,0,1,2,1,0,0,0,4.172570279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,149,0,1,0
2,1928829,28,R?zeknes tiesa,100871,8/12/2016,2/22/2017,9894.73,2,0,0,1,1,0,0,0,0,6.373847512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,2,0
3,1978133,26,R?gas pils?tas Latgales priekšpils?tas tiesa,260874,1/4/2017,3/15/2017,597.06,0,1,0,1,0,0,0,0,0,2.299841886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,43,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1629,0,1,0
4,1965532,4,Bauskas rajona tiesa,221265,11/28/2016,7/4/2017,228.18,1,0,0,1,0,0,0,0,0,7.16236473,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,1,0
5,1914923,34,R?gas pils?tas Zieme?u rajona tiesa,260576,7/1/2016,6/1/2017,3086,1,0,0,1,3,1,0,0,1,11.00638617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,683,1,1,0
6,1932218,273,R?gas rajona tiesa J?rmalas tiesu nams,240772,8/23/2016,4/7/2017,522.43,5,0,0,1,3,0,0,0,0,7.458058687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,625,0,5,0
7,1932133,279,R?gas pils?tas P?rdaugavas tiesa,181271,1/31/2017,4/13/2017,4607.19,1,0,0,1,1,0,0,0,0,2.365551654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1250,0,1,0
8,1978428,1,Aizkraukles rajona tiesa,150259,1/5/2017,6/14/2017,1462.93,0,1,0,1,0,0,0,0,0,5.256781453,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,1,0
9,1963710,26,R?gas pils?tas Latgales priekšpils?tas tiesa,130279,11/22/2016,3/31/2017,569.25,1,0,0,1,1,0,0,1,0,4.238280047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1629,0,1,1
